Id,Unit,Pack section,Source focus,Type,Front,Back,Extra cue,Choices,Visual,Difficulty
card-126-7j-current-electricity-parallel-current-rule,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Equation recall",Equation/relationship,Parallel current rule,I_total = I_branch 1 + I_branch 2 + ...,Current splits at branches and recombines later.,,,4
card-127-7j-current-electricity-resistance-current-relationship,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Equation recall",Equation/relationship,Resistance-current relationship,higher resistance -> lower current; lower resistance -> higher current,A resistor or thin wire increases resistance.,,,4
card-128-7j-current-electricity-voltage-current-relationship,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Equation recall",Equation/relationship,Voltage-current relationship,"higher voltage -> higher current, if resistance stays the same",Biggest current: high voltage and low resistance.,,,4
card-129-7j-current-electricity-optional-extension-ohm-s-law,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Equation recall",Equation/relationship,Optional extension: Ohm's law,"voltage = current x resistance, or V = I x R",Only use this if your teacher has taught it; it is a useful extension beyond the pack.,,,5
card-130-7j-current-electricity-how-do-you-connect-an-ammeter-and-a-v,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Progression Check recall",Self-test,How do you connect an ammeter and a voltmeter?,Ammeter in series; voltmeter in parallel across the component.,Voltage is measured in volts (V) using a voltmeter connected in parallel.,,,2
card-131-7j-current-electricity-what-happens-to-bulbs-in-series-if-yo,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Progression Check recall",Self-test,What happens to bulbs in series if you add more bulbs?,They get dimmer because resistance increases and current becomes smaller.,,,,4
card-132-7j-current-electricity-what-happens-to-bulbs-in-parallel-if-,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Progression Check recall",Self-test,What happens to bulbs in parallel if one bulb breaks?,Other branches can still work.,,,,3
card-133-7j-current-electricity-what-circuit-condition-gives-the-larg,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Progression Check recall",Self-test,What circuit condition gives the largest current?,High voltage and low resistance.,,,,4
card-134-7c-muscles-and-bones-which-statement-best-describes-respirat,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Quick Quiz style",Multiple choice,A pupil says breathing and respiration mean the same thing. Which correction is best?,Breathing moves air in and out of the lungs; respiration releases energy in cells.,Common trap: breathing is ventilation; respiration is a chemical process in cells.,Breathing moves air in and out of the lungs; respiration releases energy in cells. | Breathing releases energy in cells; respiration moves air into the lungs. | Both words mean oxygen moving from the lungs into the blood. | Both words mean the heart pumping blood around the body.,,4
card-135-7c-muscles-and-bones-what-is-the-main-job-of-red-blood-cells,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Quick Quiz style",Multiple choice,A blood sample carries oxygen from the lungs to the muscles. Which part of the blood carries most of that oxygen?,Red blood cells.,Red blood cells carry most oxygen; plasma carries many dissolved substances.,Red blood cells. | Plasma. | White blood cells. | Platelets.,,3
card-136-7c-muscles-and-bones-which-blood-vessel-carries-blood-away-f,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Quick Quiz style",Multiple choice,A vessel has thick muscular walls and carries blood away from the heart under high pressure. What type of vessel is it?,Artery.,Away from heart = artery. Back to heart = vein.,Artery. | Vein. | Capillary. | Tendon.,,4
card-137-7c-muscles-and-bones-where-does-gas-exchange-happen,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,Which description correctly shows gas exchange in the lungs?,Oxygen moves from air spaces into blood; carbon dioxide moves from blood into air spaces.,Think direction: oxygen into blood; carbon dioxide out of blood.,Oxygen moves from air spaces into blood; carbon dioxide moves from blood into air spaces. | Oxygen moves from blood into air spaces; carbon dioxide moves from air spaces into blood. | Both oxygen and carbon dioxide move from blood into air spaces. | Both oxygen and carbon dioxide are made inside the air spaces.,,4
card-138-7c-muscles-and-bones-what-happens-to-the-diaphragm-when-you-,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,"During inhalation, which set of changes helps air enter the lungs?",Diaphragm contracts and moves down; rib muscles lift the ribs.,Inhaling increases chest volume.,Diaphragm contracts and moves down; rib muscles lift the ribs. | Diaphragm relaxes and moves up; rib muscles lower the ribs. | Diaphragm contracts and moves up; rib muscles lower the ribs. | Diaphragm relaxes and moves down; rib muscles lift the ribs.,,4
card-139-7c-muscles-and-bones-what-is-ventilation,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,Which statement separates ventilation from respiration most accurately?,Ventilation is air movement; respiration is energy release in cells.,This is a high-frequency Year 7 misconception.,Ventilation is air movement; respiration is energy release in cells. | Ventilation releases energy; respiration moves air. | Ventilation is only gas exchange in blood; respiration is only breathing out. | Ventilation and respiration are identical processes.,,4
card-140-7c-muscles-and-bones-which-part-of-the-skeleton-protects-the,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Quick Quiz style",Multiple choice,Which statement gives the function of the skull in the skeleton?,It protects the brain.,Protection is one key function of the skeleton.,It protects the brain. | It pumps blood to the brain. | It makes impulses for the nervous system. | It joins muscles to bones.,,3
card-141-7c-muscles-and-bones-which-bones-help-protect-the-heart-and-,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,Which statement gives the function of the rib cage?,It helps protect the heart and lungs while still allowing breathing movements.,Ribs protect organs but still move during breathing.,It helps protect the heart and lungs while still allowing breathing movements. | It protects only the stomach and cannot move. | It makes blood cells and controls impulses. | It joins the upper arm bone to the shoulder.,,3
card-142-7c-muscles-and-bones-what-is-a-joint,7C Muscles and bones,7Ce,7Ce · Drugs and their effects · Quick Quiz style,Multiple choice,"In a moving joint, which statement describes the joint itself?",A place where two or more bones meet.,"Joint, tendon, cartilage and antagonistic pair are different ideas.",A place where two or more bones meet. | A cord that joins muscle to bone. | A smooth layer that reduces rubbing at bone ends. | A muscle pair that pulls bones in opposite directions.,,3
card-143-7c-muscles-and-bones-what-does-cartilage-do-at-the-ends-of-b,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,Why is cartilage important at the ends of bones in a joint?,It reduces friction and helps the bones move smoothly.,Cartilage is not a muscle or nerve.,It reduces friction and helps the bones move smoothly. | It contracts to bend the joint. | It carries oxygen to the joint. | It sends impulses from the brain.,,3
card-144-7c-muscles-and-bones-what-connects-bone-to-bone,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Quick Quiz style",Multiple choice,A tissue holds two bones together at a joint. What is it?,Ligament.,Ligaments join bone to bone.,Ligament. | Tendon. | Cartilage. | Capillary.,,3
card-145-7c-muscles-and-bones-what-connects-muscle-to-bone,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,A tissue joins a muscle to a bone so that the bone can be pulled. What is it?,Tendon.,Tendons join muscle to bone.,Tendon. | Ligament. | Cartilage. | Vein.,,3
card-146-7c-muscles-and-bones-why-are-antagonistic-muscle-pairs-neede,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,Why must many muscles work as antagonistic pairs?,A muscle can pull when it contracts but cannot push the bone back.,Pairs allow movement in opposite directions.,"A muscle can pull when it contracts but cannot push the bone back. | A muscle can push but cannot pull, so the second muscle pulls. | A muscle can only work if a tendon changes into cartilage. | A muscle can move only when a capillary contracts.",,4
card-147-7c-muscles-and-bones-when-the-biceps-contracts-what-usually-,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,"At the elbow, what happens when the biceps contracts and the triceps relaxes?",The lower arm bends upwards.,Biceps contraction bends the elbow.,The lower arm bends upwards. | The lower arm straightens. | The ribs move downwards. | The heart chambers get smaller.,,3
card-148-7c-muscles-and-bones-when-the-triceps-contracts-what-usually,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,"At the elbow, what happens when the triceps contracts and the biceps relaxes?",The lower arm straightens.,Triceps contraction straightens the elbow.,The lower arm straightens. | The lower arm bends upwards. | The diaphragm moves down. | The skull protects the brain.,,3
card-149-7c-muscles-and-bones-what-is-the-nervous-system-made-from,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,Which list gives the main parts involved in the nervous system response pathway?,"Brain, spinal cord and nerves.","Nerves carry impulses between receptors, CNS and effectors.","Brain, spinal cord and nerves. | Heart, arteries and veins. | Bones, cartilage and ligaments. | Lungs, diaphragm and ribs only.",,3
card-150-7c-muscles-and-bones-what-is-an-impulse-in-the-nervous-syste,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,"In the nervous system, what is an impulse?",An electrical signal carried by nerve cells.,"Impulse means signal, not movement of blood.",An electrical signal carried by nerve cells. | A pulse of blood in an artery. | A gas moving across an alveolus. | A muscle that joins bone to bone.,,3
card-151-7c-muscles-and-bones-what-is-a-stimulant,7C Muscles and bones,7Ce,7Ce · Drugs and their effects · Quick Quiz style,Multiple choice,Which statement best describes a stimulant drug?,It speeds up activity in the nervous system.,Caffeine and nicotine are common examples.,It speeds up activity in the nervous system. | It always slows reaction time by reducing nerve messages. | It is any medicine that cures infection. | It is any substance that cannot affect the body.,,4
card-152-7c-muscles-and-bones-what-is-a-depressant,7C Muscles and bones,7Ce,7Ce · Drugs and their effects · Quick Quiz style,Multiple choice,Which statement best describes a depressant drug?,It slows down activity in the nervous system.,Alcohol and heroin are common depressant examples in the pack.,"It slows down activity in the nervous system. | It speeds up all nerve impulses. | It only affects the skeleton, not the nervous system. | It is any legal medicine.",,4
card-153-7c-muscles-and-bones-what-is-reaction-time,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,A driver takes longer to brake after drinking alcohol. Which explanation fits the science?,Reaction time increased because nervous-system messages were slowed.,Reaction time is the time taken to respond to a stimulus.,Reaction time increased because nervous-system messages were slowed. | Reaction time decreased because impulses travelled faster. | Pulse rate was measured in newtons instead of beats per minute. | The arm muscles could push but not pull.,,4
card-154-7c-muscles-and-bones-which-word-equation-is-correct-for-resp,7C Muscles and bones,7Ca,"7Ca · Organs, breathing and gas exchange · Quick Quiz style",Multiple choice,Which word equation correctly represents aerobic respiration in humans?,glucose + oxygen → carbon dioxide + water + energy released,Reactants are glucose and oxygen; products include carbon dioxide and water.,glucose + oxygen → carbon dioxide + water + energy released | carbon dioxide + water → glucose + oxygen + energy absorbed | oxygen + water → glucose + carbon dioxide + salt | glucose + carbon dioxide → oxygen + water + energy released,,4
card-155-7c-muscles-and-bones-what-is-pulse-rate,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Quick Quiz style",Multiple choice,A student counts 25 pulse beats in 20 seconds. What is the pulse rate in beats per minute?,75 beats per minute.,Multiply by 3 because 20 seconds fits into 60 seconds three times.,75 beats per minute. | 25 beats per minute. | 45 beats per minute. | 500 beats per minute.,,4
card-156-7c-muscles-and-bones-what-does-plasma-do-in-blood,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,Which function belongs mainly to plasma in the blood?,Carrying dissolved substances such as carbon dioxide and nutrients.,Plasma is the liquid part of blood.,Carrying dissolved substances such as carbon dioxide and nutrients. | Carrying most oxygen using haemoglobin. | Making blood clot at a cut. | Destroying pathogens as the main defence cells.,,4
card-157-7c-muscles-and-bones-why-do-muscles-need-oxygen-and-nutrient,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Quick Quiz style",Multiple choice,Why do active muscles need a good supply of oxygen and nutrients?,They are used in respiration to release energy for contraction.,Link oxygen/nutrients → respiration → energy → contraction.,They are used in respiration to release energy for contraction. | They are used to turn tendons into ligaments. | They are used to make blood flow backwards through arteries. | They are used to reduce the pH of the muscle.,,4
card-158-7f-acids-and-alkalis-what-is-a-hazard,7F Acids and alkalis,7Fd,7Fd · Neutralisation reactions · Quick Quiz style,Multiple choice,Which organ is the main site where oxygen enters the blood and carbon dioxide leaves it?,Lungs.,Gas exchange happens in the lungs.,Lungs. | Stomach. | Skull. | Femur.,,3
card-159-7f-acids-and-alkalis-what-is-risk,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Quick Quiz style,Multiple choice,What happens to oxygen during gas exchange at the lung surface?,It diffuses from the air spaces into the blood.,Oxygen goes into the blood.,It diffuses from the air spaces into the blood. | It diffuses from the blood into the air spaces. | It is made by the ribs when they move. | It changes into plasma before reaching the blood.,,4
card-160-7f-acids-and-alkalis-what-does-corrosive-mean,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Quick Quiz style,Multiple choice,What happens to carbon dioxide during gas exchange at the lung surface?,It diffuses from the blood into the air spaces to be breathed out.,Carbon dioxide is a waste gas removed from blood.,It diffuses from the blood into the air spaces to be breathed out. | It diffuses from the air spaces into the blood. | It is changed directly into oxygen by the lungs. | It is stored in bones until exercise starts.,,4
card-161-7f-acids-and-alkalis-what-does-flammable-mean,7F Acids and alkalis,7Fa,"7Fa · Hazards, acids and indicators · Quick Quiz style",Multiple choice,Why does one loop of double circulation carry blood to the lungs?,So blood can pick up oxygen and lose carbon dioxide.,The lung loop exchanges gases.,So blood can pick up oxygen and lose carbon dioxide. | So blood can digest food before reaching the stomach. | So red blood cells can turn into white blood cells. | So bones can make the heart contract.,,4
card-162-7f-acids-and-alkalis-what-is-an-acid,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Quick Quiz style,Multiple choice,What happens when the heart muscle contracts around a chamber full of blood?,The chamber volume decreases and blood is forced out.,Contraction reduces volume and increases pressure.,The chamber volume decreases and blood is forced out. | The chamber volume increases and blood is pulled out. | The chamber fills with air and becomes a lung. | The chamber wall becomes thinner so nutrients escape.,,4
card-163-7f-acids-and-alkalis-what-is-an-alkali,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Quick Quiz style,Multiple choice,Which adaptation makes capillaries suitable for exchange with body cells?,Very thin walls so substances can move in and out quickly.,Thin walls shorten the distance for diffusion.,Very thin walls so substances can move in and out quickly. | Very thick walls so nothing can leave the blood. | Valves to stop air entering the lungs. | Tendons to attach them to muscles.,,4
card-164-7f-acids-and-alkalis-what-ph-is-neutral,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Quick Quiz style,Multiple choice,Which statement correctly identifies arteries?,"They carry blood away from the heart, usually under high pressure.",Arteries carry blood away from the heart.,"They carry blood away from the heart, usually under high pressure. | They carry blood back to the heart and always have very thin walls. | They are one-cell-thick vessels for exchange. | They join muscles to bones at joints.",,4
card-165-7f-acids-and-alkalis-what-colour-does-blue-litmus-turn-in-ac,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Quick Quiz style,Multiple choice,Which statement correctly identifies veins?,They carry blood back towards the heart and often contain valves.,Veins return blood to the heart.,They carry blood back towards the heart and often contain valves. | They carry blood away from the heart at high pressure. | They are microscopic vessels used mainly for exchange. | They are tissues that connect bone to bone.,,4
card-166-7f-acids-and-alkalis-what-colour-does-red-litmus-turn-in-alk,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Quick Quiz style,Multiple choice,A student records hand-grip force in kilograms. Which correction is best?,Force should be recorded in newtons.,Newtons are the unit of force.,Force should be recorded in newtons. | Force should be recorded in volts. | Force should be recorded in beats per minute. | Force has no units in science.,,3
card-167-7f-acids-and-alkalis-what-is-universal-indicator-used-for,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Quick Quiz style,Multiple choice,Which statement best explains why the biceps and triceps are an antagonistic pair?,One muscle contracts to move the arm one way; the other contracts to move it back.,Antagonistic muscles produce opposite movements.,One muscle contracts to move the arm one way; the other contracts to move it back. | Both muscles contract at the same time to push the bone both ways. | One muscle carries oxygen while the other carries carbon dioxide. | Both muscles protect the heart and lungs.,,4
card-168-7f-acids-and-alkalis-what-is-neutralisation,7F Acids and alkalis,7Fd,7Fd · Neutralisation reactions · Quick Quiz style,Multiple choice,Which question could be answered using a fair scientific investigation?,Does caffeine change reaction time?,Scientific questions can be tested with evidence.,Does caffeine change reaction time? | Should energy drinks be banned for children? | Is football a better sport than swimming? | Is it fair to test medicines on animals?,,4
card-169-7f-acids-and-alkalis-what-are-the-products-of-acid-alkali,7F Acids and alkalis,7Fd,7Fd · Neutralisation reactions · Quick Quiz style,Multiple choice,Which question is ethical rather than mainly scientific?,Is it acceptable to test a new medicine on animals?,Ethical questions involve what people think is right or fair.,Is it acceptable to test a new medicine on animals? | How many beats per minute is the pulse after exercise? | Does caffeine affect reaction time? | Which vessel carries blood away from the heart?,,4
card-170-7f-acids-and-alkalis-what-is-a-base,7F Acids and alkalis,7Fd,7Fd · Neutralisation reactions · Quick Quiz style,Multiple choice,Which list contains only stimulant examples from this topic?,"caffeine, nicotine and cocaine",Stimulants speed up nervous system activity.,"caffeine, nicotine and cocaine | alcohol, heroin and solvents | paracetamol, penicillin and ibuprofen | oxygen, glucose and plasma",,4
card-171-7f-acids-and-alkalis-what-does-soluble-mean,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Quick Quiz style,Multiple choice,Which list contains only depressant examples from this topic?,"alcohol, heroin and solvents",Depressants slow nervous system activity.,"alcohol, heroin and solvents | caffeine, nicotine and cocaine | paracetamol, penicillin and ibuprofen | oxygen, carbon dioxide and glucose",,4
card-172-7f-acids-and-alkalis-what-does-insoluble-mean,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Quick Quiz style",Multiple choice,Which pair are medicines rather than recreational stimulants or depressants?,paracetamol and penicillin,Medicines are drugs used to treat or prevent disease or symptoms.,paracetamol and penicillin | caffeine and cocaine | alcohol and heroin | nicotine and ecstasy,,3
card-173-7f-acids-and-alkalis-what-does-dilute-mean,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Quick Quiz style",Multiple choice,Why can depressant drugs increase the risk of accidents?,They can slow impulses and increase reaction time.,Longer reaction time means a slower response.,They can slow impulses and increase reaction time. | They make impulses travel faster and reduce thinking time. | They turn arteries into veins during exercise. | They make cartilage thicker at joints.,,4
card-174-7f-acids-and-alkalis-what-does-concentrated-mean,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Quick Quiz style",Multiple choice,A bottle has a warning symbol because it could damage skin. Which word best describes the danger source?,Hazard.,Hazard = something that could cause harm.,Hazard. | Risk. | Neutralisation. | Indicator.,,3
card-175-7f-acids-and-alkalis-what-are-reactants,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Quick Quiz style",Multiple choice,A class uses dilute acid. The teacher reduces the chance of harm by using goggles and small volumes. What is being reduced?,Risk.,Risk is the chance that a hazard will cause harm.,Risk. | Hazard. | Product. | Base.,,4
card-176-7f-acids-and-alkalis-what-are-products,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Quick Quiz style",Multiple choice,Which description matches the corrosive hazard warning?,It can damage living tissue and some materials.,Corrosive substances can cause burns/damage.,It can damage living tissue and some materials. | It catches fire easily near a flame. | It is safe to touch because it is neutral. | It only changes colour with indicators.,,3
card-177-7f-acids-and-alkalis-what-does-hydrochloric-acid-make-in-sal,7F Acids and alkalis,7Fe,"7Fe · Bases, salts and everyday reactions · Quick Quiz style",Multiple choice,Which instruction is most important when using a flammable liquid near a Bunsen burner?,Keep it away from flames because it catches fire easily.,Flammable means catches fire easily.,Keep it away from flames because it catches fire easily. | Add universal indicator before heating it. | Use a voltmeter to check whether it is safe. | Neutralise it with distilled water only.,,4
card-178-7f-acids-and-alkalis-what-does-nitric-acid-make-in-salt-name,7F Acids and alkalis,7Fe,"7Fe · Bases, salts and everyday reactions · Quick Quiz style",Multiple choice,A solution turns blue litmus red and has pH 3. Which description is correct?,It is acidic.,Acids have pH below 7 and turn blue litmus red.,It is acidic. | It is alkaline. | It is neutral. | It must be pure water.,,3
card-179-7f-acids-and-alkalis-what-does-sulfuric-acid-make-in-salt-na,7F Acids and alkalis,7Fe,"7Fe · Bases, salts and everyday reactions · Quick Quiz style",Multiple choice,A solution has pH 10 and turns red litmus blue. Which description is correct?,It is alkaline.,Alkalis have pH above 7 and turn red litmus blue.,It is alkaline. | It is acidic. | It is neutral. | It must be citric acid.,,3
card-180-7f-acids-and-alkalis-why-can-antacids-help-indigestion,7F Acids and alkalis,7Fd,7Fd · Neutralisation reactions · Quick Quiz style,Multiple choice,A liquid has pH 7. Which statement is most accurate?,"It is neutral, not acidic or alkaline.",pH 7 is neutral.,"It is neutral, not acidic or alkaline. | It is a weak acid because 7 is below 14. | It is a strong alkali because 7 is high. | It must be corrosive.",,3
card-181-7f-acids-and-alkalis-what-is-acid-rain,7F Acids and alkalis,7Fe,"7Fe · Bases, salts and everyday reactions · Quick Quiz style",Multiple choice,Blue litmus paper is dipped into hydrochloric acid. What should happen?,It turns red.,Blue litmus turns red in acid.,It turns red. | It turns blue. | It turns purple. | It gives a number directly.,,3
card-182-7j-current-electricity-what-is-current,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Quick Quiz style",Multiple choice,Red litmus paper is dipped into sodium hydroxide solution. What should happen?,It turns blue.,Red litmus turns blue in alkali.,It turns blue. | It turns red. | It turns green. | It dissolves to make a salt.,,3
card-183-7j-current-electricity-what-unit-is-used-for-current,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Quick Quiz style",Multiple choice,Why is universal indicator more useful than litmus when comparing acid strengths?,It shows a range of colours linked to different pH values.,Universal indicator gives more detail than litmus.,It shows a range of colours linked to different pH values. | It only tells whether a liquid is hot or cold. | It gives only two colours: red or blue. | It neutralises acids before a reading is taken.,,4
card-184-7j-current-electricity-how-should-an-ammeter-be-connected,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Quick Quiz style",Multiple choice,Which statement best describes neutralisation?,An acid reacts with a base or alkali to make a solution closer to neutral.,Neutralisation reduces acidity/alkalinity.,An acid reacts with a base or alkali to make a solution closer to neutral. | An acid is made more concentrated by removing water. | An indicator changes directly into a salt. | A solid disappears without reacting.,,4
card-185-7j-current-electricity-what-is-voltage,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Quick Quiz style",Multiple choice,What are the products of the reaction: acid + alkali?,Salt and water.,acid + alkali → salt + water.,Salt and water. | Acid and water. | Alkali and hydrogen. | Indicator and oxygen.,,3
card-186-7j-current-electricity-how-should-a-voltmeter-be-connected,7J Current electricity,7Je,7Je · Electrical safety and plugs · Quick Quiz style,Multiple choice,Which statement describes a base in acid reactions?,A substance that reacts with and neutralises an acid.,Many bases are insoluble; soluble bases are alkalis.,A substance that reacts with and neutralises an acid. | A solution that must have pH below 7. | A dye used only to show acid strength. | A substance that cannot form salts.,,4
card-187-7j-current-electricity-what-does-a-cell-do-in-a-circuit,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Quick Quiz style",Multiple choice,A white solid disappears completely when stirred into water. Which word describes the solid?,Soluble.,Soluble means able to dissolve.,Soluble. | Insoluble. | Concentrated. | Corrosive.,,3
card-188-7j-current-electricity-what-does-a-switch-do,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Quick Quiz style",Multiple choice,A metal oxide remains as a solid after stirring in water. Which word describes it?,Insoluble.,Insoluble means not dissolving in the liquid.,Insoluble. | Soluble. | Neutral. | Dilute.,,3
card-189-7j-current-electricity-what-is-a-conductor,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Quick Quiz style",Multiple choice,Water is added to an acid before the experiment. Which statement describes the new solution?,It is more dilute because the acid particles are spread through more water.,Diluting lowers concentration; it does not guarantee pH 7.,It is more dilute because the acid particles are spread through more water. | It is more concentrated because more liquid has been added. | It must now be neutral because all acids become pH 7 in water. | It is insoluble because water has been added.,,4
card-190-7j-current-electricity-what-is-an-insulator,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Quick Quiz style",Multiple choice,Which description fits a concentrated acid best?,A large amount of acid dissolved in a relatively small volume of solution.,Concentration is about amount dissolved in a volume.,A large amount of acid dissolved in a relatively small volume of solution. | Any acid with pH exactly 7. | An acid that has been made safer by adding lots of water. | An acid that cannot react with bases.,,4
card-191-7j-current-electricity-what-is-resistance,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Quick Quiz style",Multiple choice,"In the reaction hydrochloric acid + sodium hydroxide → sodium chloride + water, which are the reactants?",hydrochloric acid and sodium hydroxide,Reactants are the substances at the start.,hydrochloric acid and sodium hydroxide | sodium chloride and water | hydrochloric acid and sodium chloride | sodium hydroxide and water,,4
card-192-7j-current-electricity-what-does-a-resistor-do,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Quick Quiz style",Multiple choice,"In the reaction hydrochloric acid + sodium hydroxide → sodium chloride + water, which are the products?",sodium chloride and water,Products are the substances made.,sodium chloride and water | hydrochloric acid and sodium hydroxide | hydrochloric acid and water | sodium hydroxide and sodium chloride,,4
card-193-7j-current-electricity-what-is-a-variable-resistor,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Quick Quiz style",Multiple choice,Which salt-name ending is made when hydrochloric acid reacts with a base?,chloride,Hydrochloric acid makes chloride salts.,chloride | nitrate | sulfate | oxide,,3
card-194-7j-current-electricity-what-is-a-series-circuit,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Quick Quiz style",Multiple choice,Which salt-name ending is made when nitric acid reacts with a base?,nitrate,Nitric acid makes nitrate salts.,nitrate | chloride | sulfate | oxide,,3
card-195-7j-current-electricity-what-is-a-parallel-circuit,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Quick Quiz style",Multiple choice,Which salt-name ending is made when sulfuric acid reacts with a base?,sulfate,Sulfuric acid makes sulfate salts.,sulfate | chloride | nitrate | hydroxide,,3
card-196-7j-current-electricity-what-happens-to-current-in-a-series-c,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Quick Quiz style",Multiple choice,Why can an antacid help with indigestion?,It contains a base that neutralises excess stomach acid.,Antacid = anti-acid; neutralises acid.,It contains a base that neutralises excess stomach acid. | It contains an acid that makes the stomach more acidic. | It is an indicator that changes the stomach colour. | It is a salt that stops all digestion.,,4
card-197-7j-current-electricity-what-is-the-current-rule-for-a-parall,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Quick Quiz style",Multiple choice,Which statement best explains acid rain?,Rainwater becomes more acidic when acidic gases dissolve in it.,Acid rain is linked to air pollution.,Rainwater becomes more acidic when acidic gases dissolve in it. | Rainwater becomes pH 7 whenever it falls through air. | Rainwater becomes alkaline when salt crystals dissolve in it. | Rainwater is called acid rain only if it is purple with universal indicator.,,4
card-198-7j-current-electricity-what-happens-if-one-bulb-breaks-in-a-,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Quick Quiz style",Multiple choice,Which liquid would you choose as an example of an acid containing ethanoic acid?,vinegar,Vinegar contains ethanoic acid.,vinegar | oven cleaner | washing powder | pure water,,3
card-199-7j-current-electricity-what-usually-happens-if-you-add-more-,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Quick Quiz style",Multiple choice,Which liquid would you choose as an example of an acid containing citric acid?,lemon juice,Citrus fruits contain citric acid.,lemon juice | toothpaste | washing powder | indigestion powder,,3
card-200-7j-current-electricity-what-condition-gives-the-largest-curr,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Quick Quiz style",Multiple choice,Which everyday substance is the best example of neutral pH?,pure water,Pure water is neutral at about pH 7.,pure water | stomach acid | oven cleaner | vinegar,,3
