Id,Unit,Type,Pack section,Before,After
card-380-7j-current-electricity-in-the-plug-safety-diagram-which-labe,7J Current electricity,Visual challenge,7Je,"In the plug-safety diagram, which label shows the fuse?","Look at the diagram. in the plug-safety diagram, which label shows the fuse?"
card-381-7j-current-electricity-in-the-plug-safety-diagram-which-labe,7J Current electricity,Visual challenge,7Je,"In the plug-safety diagram, which label shows the neutral wire connection?","Look at the diagram. in the plug-safety diagram, which label shows the neutral wire connection?"
card-382-7j-current-electricity-in-the-plug-safety-diagram-which-labe,7J Current electricity,Visual challenge,7Je,"In the plug-safety diagram, which label shows the cable grip?","Look at the diagram. in the plug-safety diagram, which label shows the cable grip?"
card-383-7j-current-electricity-in-the-central-heating-comparison-dia,7J Current electricity,Visual challenge,7Jb,"In the central-heating comparison diagram, which letter shows the boiler?","Look at the diagram. in the central-heating comparison diagram, which letter shows the boiler?"
card-384-7j-current-electricity-in-the-central-heating-comparison-dia,7J Current electricity,Visual challenge,7Jb,"In the central-heating comparison diagram, which letter shows a radiator?","Look at the diagram. in the central-heating comparison diagram, which letter shows a radiator?"
card-385-7j-current-electricity-in-the-central-heating-comparison-dia,7J Current electricity,Visual challenge,7Jb,"In the central-heating comparison diagram, which letter shows the pump?","Look at the diagram. in the central-heating comparison diagram, which letter shows the pump?"
card-386-7j-current-electricity-in-the-electric-circuit-part-of-the-c,7J Current electricity,Visual challenge,7Jb,"In the electric-circuit part of the comparison diagram, which number shows the cell?","Look at the diagram. in the electric-circuit part of the comparison diagram, which number shows the cell?"
card-387-7j-current-electricity-in-the-electric-circuit-part-of-the-c,7J Current electricity,Visual challenge,7Jc,"In the electric-circuit part of the comparison diagram, which number shows a bulb?","Look at the diagram. in the electric-circuit part of the comparison diagram, which number shows a bulb?"
card-388-7c-muscles-and-bones-in-the-breathing-diagram-which-label-sh,7C Muscles and bones,Visual challenge,7Cc,"In the breathing diagram, which label shows the rib cage?","Look at the diagram. in the breathing diagram, which label shows the rib cage?"
card-389-7c-muscles-and-bones-in-the-gas-exchange-diagram-which-label,7C Muscles and bones,Visual challenge,7Cb,"In the gas exchange diagram, which label shows the capillary blood vessel?","Look at the diagram. in the gas exchange diagram, which label shows the capillary blood vessel?"
card-390-7f-acids-and-alkalis-in-the-neutralisation-practical-diagram,7F Acids and alkalis,Visual challenge,7Fd,"In the neutralisation practical diagram, which label shows the burette?","Look at the diagram. in the neutralisation practical diagram, which label shows the burette?"
card-391-7f-acids-and-alkalis-in-the-neutralisation-practical-diagram,7F Acids and alkalis,Visual challenge,7Fd,"In the neutralisation practical diagram, which label shows the conical flask?","Look at the diagram. in the neutralisation practical diagram, which label shows the conical flask?"
card-392-7f-acids-and-alkalis-in-the-neutralisation-practical-diagram,7F Acids and alkalis,Visual challenge,7Fd,"In the neutralisation practical diagram, which label shows the indicator bottle?","Look at the diagram. in the neutralisation practical diagram, which label shows the indicator bottle?"
card-393-7f-acids-and-alkalis-in-the-neutralisation-practical-diagram,7F Acids and alkalis,Visual challenge,7Fd,"In the neutralisation practical diagram, which label shows the beaker?","Look at the diagram. in the neutralisation practical diagram, which label shows the beaker?"
card-394-7f-acids-and-alkalis-in-the-evaporation-setup-diagram-which-,7F Acids and alkalis,Visual challenge,7Fe,"In the evaporation setup diagram, which label shows the evaporation dish?","Look at the diagram. in the evaporation setup diagram, which label shows the evaporation dish?"
card-395-7f-acids-and-alkalis-in-the-evaporation-setup-diagram-which-,7F Acids and alkalis,Visual challenge,7Fe,"In the evaporation setup diagram, which label shows the support or tripod with gauze?","Look at the diagram. in the evaporation setup diagram, which label shows the support or tripod with gauze?"
card-396-7f-acids-and-alkalis-in-the-evaporation-setup-diagram-which-,7F Acids and alkalis,Visual challenge,7Fe,"In the evaporation setup diagram, which label shows the Bunsen burner?","Look at the diagram. in the evaporation setup diagram, which label shows the Bunsen burner?"
card-397-7f-acids-and-alkalis-in-the-dilution-safety-diagram-which-la,7F Acids and alkalis,Visual challenge,7Fa,"In the dilution safety diagram, which label shows the water in the beaker?","Look at the diagram. in the dilution safety diagram, which label shows the water in the beaker?"
card-398-7f-acids-and-alkalis-in-the-dilution-safety-diagram-which-la,7F Acids and alkalis,Visual challenge,7Fa,"In the dilution safety diagram, which label shows the acid container?","Look at the diagram. in the dilution safety diagram, which label shows the acid container?"
card-399-7f-acids-and-alkalis-in-the-dilution-safety-diagram-which-la,7F Acids and alkalis,Visual challenge,7Fa,"In the dilution safety diagram, which label shows the safe pouring direction?","Look at the diagram. in the dilution safety diagram, which label shows the safe pouring direction?"
card-400-7c-muscles-and-bones-in-the-ruler-drop-test-diagram-which-la,7C Muscles and bones,Visual challenge,7Ca,"In the ruler-drop test diagram, which label shows the ruler?","Look at the diagram. in the ruler-drop test diagram, which label shows the ruler?"
card-401-7c-muscles-and-bones-in-the-ruler-drop-test-diagram-which-la,7C Muscles and bones,Visual challenge,7Ca,"In the ruler-drop test diagram, which label shows the catching hand?","Look at the diagram. in the ruler-drop test diagram, which label shows the catching hand?"
card-402-7c-muscles-and-bones-in-the-ruler-drop-test-diagram-which-la,7C Muscles and bones,Visual challenge,7Ca,"In the ruler-drop test diagram, which label shows the measured falling distance?","Look at the diagram. in the ruler-drop test diagram, which label shows the measured falling distance?"
card-403-7j-current-electricity-in-the-circuit-comparison-diagram-whi,7J Current electricity,Visual challenge,7Jc,"In the circuit comparison diagram, which label shows the series circuit?","Look at the diagram. in the circuit comparison diagram, which label shows the series circuit?"
card-404-7j-current-electricity-in-the-circuit-comparison-diagram-whi,7J Current electricity,Visual challenge,7Jc,"In the circuit comparison diagram, which label shows the parallel circuit?","Look at the diagram. in the circuit comparison diagram, which label shows the parallel circuit?"
card-405-7j-current-electricity-in-the-circuit-comparison-diagram-whi,7J Current electricity,Visual challenge,7Jc,"In the circuit comparison diagram, which label shows the circuit where one bulb can stay on if the other breaks?","Look at the diagram. in the circuit comparison diagram, which label shows the circuit where one bulb can stay on if the other breaks?"
card-406-7j-current-electricity-in-the-circuit-comparison-diagram-whi,7J Current electricity,Visual challenge,7Jc,"In the circuit comparison diagram, which label shows the circuit with one loop?","Look at the diagram. in the circuit comparison diagram, which label shows the circuit with one loop?"
card-407-7j-current-electricity-in-the-circuit-comparison-diagram-whi,7J Current electricity,Visual challenge,7Jc,"In the circuit comparison diagram, which label shows the circuit with two branches?","Look at the diagram. in the circuit comparison diagram, which label shows the circuit with two branches?"
card-408-7j-current-electricity-in-the-series-circuit-diagram-how-man,7J Current electricity,Visual challenge,7Jc,"In the series circuit diagram, how many paths does current have?","Look at the diagram. in the series circuit diagram, how many paths does current have?"
card-409-7j-current-electricity-in-the-parallel-circuit-diagram-how-m,7J Current electricity,Visual challenge,7Jc,"In the parallel circuit diagram, how many branches carry the two lamps?","Look at the diagram. in the parallel circuit diagram, how many branches carry the two lamps?"
card-410-7j-current-electricity-in-the-and-switch-diagram-if-switch-a,7J Current electricity,Visual challenge,7Jc,"In the AND switch diagram, if switch A is closed but switch B stays open, will the lamp light?","Look at the diagram. in the AND switch diagram, if switch A is closed but switch B stays open, will the lamp light?"
card-411-7j-current-electricity-in-the-or-switch-diagram-if-switch-a-,7J Current electricity,Visual challenge,7Jc,"In the OR switch diagram, if switch A closes while switch B stays open, will the lamp light?","Look at the diagram. in the OR switch diagram, if switch A closes while switch B stays open, will the lamp light?"
card-412-7j-current-electricity-in-the-short-circuit-mistake-diagram-,7J Current electricity,Visual challenge,7Ja,"In the short-circuit mistake diagram, what will most of the current do?","Look at the diagram. in the short-circuit mistake diagram, what will most of the current do?"
