Unit,Type,Visual,Before front,After front,Before back,After back,Before choices,After choices,Before difficulty,After difficulty
7J Current electricity,Visual challenge,circuit-and-switches,"In the AND switch diagram, if switch A is closed but switch B stays open, will the lamp light?",AND diagram: switch A is closed and switch B is open. Which explanation is correct?,"No, the lamp stays off.","No, because the open switch still leaves a gap in the only path.","No, the lamp stays off.|Yes, because switch A is closed.|Yes, because one switch is enough.|Only if the battery is removed.","No, because the open switch still leaves a gap in the only path.|Yes, because closing either switch is enough.|Yes, because current can choose the other branch.|No, because AND circuits cannot include lamps.",3,4
7J Current electricity,Visual challenge,circuit-or-switches,"In the OR switch diagram, if switch A closes while switch B stays open, will the lamp light?",OR diagram: switch A is closed and switch B is open. Which explanation is correct?,"Yes, the lamp lights.","Yes, because one closed branch completes the circuit.","Yes, the lamp lights.|No, both switches must be closed.|No, because switch B is open.|Only if both branches break.","Yes, because one closed branch completes the circuit.|No, because both branches must be closed.|No, because the open branch blocks all current.|Yes, but only because the cell has two voltages.",3,4
7J Current electricity,Visual challenge,circuit-short-mistake,"In the short-circuit mistake diagram, what will most of the current do?","In the short-circuit mistake diagram, why is the extra wire a problem?",Take the short path and bypass the lamp.,It gives current a low-resistance path that bypasses the lamp.,Take the short path and bypass the lamp.|Go through the lamp normally.|Stop completely at the battery.|Flow only through the switch.,It gives current a low-resistance path that bypasses the lamp.|It puts the lamp correctly in series with the cell.|It turns the wire into a voltmeter.|It makes the switch open automatically.,3,5
7J Current electricity,Visual challenge,circuit-pack-four,Look at the four circuits A–D. Which circuits are equivalent to each other?,Look at circuits A–D. Which two circuits would behave in the same way when the switch is closed? Explain why.,A and C are equivalent because both have two bulbs in parallel controlled together by one switch.,A and C are equivalent because both have two bulbs in parallel controlled together by one switch.,,,4,5
7J Current electricity,Spot the mistake,circuit-pack-mistakes,Look at drawing A in the mistakes grid. What is wrong with the battery or cell symbol?,Drawing A has a circuit-symbol mistake. Explain the mistake and give the corrected rule.,The symbol is wrong because the lines are the same size. A cell should have one long line and one short line.,The cell/battery symbol uses equal-sized lines. Cell symbols should use one long line and one short line.,,,3,4
7J Current electricity,Spot the mistake,circuit-pack-mistakes,Look at drawing C in the mistakes grid. What is wrong with the ammeter readings?,Drawing C shows two different ammeter readings in one series loop. Explain why this cannot be right.,"In one series loop the current is the same everywhere, so the two ammeters cannot read 0.4 A and 0.5 A.","Current is the same everywhere in one series loop, so the two ammeters should read the same value.",,,4,5
7J Current electricity,Spot the mistake,circuit-pack-mistakes,Look at drawing D in the mistakes grid. Why is the ammeter reading impossible?,Drawing D has an open switch but the ammeter reads 0.5 A. Explain the mistake.,"The switch is open, so the circuit is incomplete. No current should flow and the ammeter should read 0 A.","The open switch makes the circuit incomplete, so no current should flow and the ammeter should read 0 A.",,,3,4
7J Current electricity,Spot the mistake,circuit-pack-mistakes,Look at drawing H in the mistakes grid. What is the mistake in the battery pack?,Drawing H shows a battery pack with one cell reversed. Explain why that is a mistake.,"One cell is put in the wrong way round, so the cells are not all pushing in the same direction.","One cell is facing the wrong way, so it does not add its voltage in the same direction as the others.",,,4,5
7J Current electricity,Self-test,circuit-pack-four,Look at circuit D. Explain why one bulb can still light even when the switch on the middle branch is open.,Circuit D has one branch with a switch and another branch without it. Explain why one bulb can still light when that switch is open.,"Circuit D has two branches. Opening the switch only breaks the branch with the middle bulb, but the other branch still makes a complete circuit.","The open switch breaks only the middle branch. The other branch still has a complete path across the cell, so its bulb can light.",,,4,5
7J Current electricity,Visual challenge,circuit-concept-map,"Use the concept map starter to explain how electricity, charges, current and conductors are linked.","Use the concept map starter to make a linked explanation using electricity, charges, current and conductors.","Electricity is a way of transferring energy. In a complete circuit made from conducting materials, charges or electrons flow. That flow is called current.","Electricity transfers energy. In a complete circuit made from conductors, charges flow around the circuit. The flow of charge is called current.",,,4,4
