Id,Unit,Pack section,Old front,New front,Old difficulty,New difficulty,Old choices,New choices
card-269-7c-muscles-and-bones-why-does-blood-go-to-the-lungs-in-one-l,7C Muscles and bones,7Cc,Why does one loop of double circulation carry blood to the lungs?,Which tool gives a numerical pH value without matching colours by eye?,3,3,To pick up oxygen and get rid of carbon dioxide.|To make bones harder.|To digest food.|To change red blood cells into white blood cells.,pH meter | litmus paper | evaporating dish | filter funnel
card-270-7c-muscles-and-bones-what-happens-to-the-chambers-of-the-hea,7C Muscles and bones,7Cd,What happens to the heart chambers when the heart muscle contracts?,"After dipping universal indicator paper into a solution, what should it be compared with?",3,3,The chambers get smaller and force blood out.|The chambers fill with air.|The chambers turn into capillaries.|The chambers stop blood moving.,a pH colour chart | a hazard-symbol sheet | a salt-name table only | a thermometer scale
card-274-7c-muscles-and-bones-which-blood-vessel-has-walls-one-cell-t,7C Muscles and bones,7Cc,Which blood vessel is adapted for exchange by having very thin walls?,Which salt is made when sulfuric acid reacts with copper oxide?,2,4,capillary|artery|vein|tendon,copper sulfate | copper chloride | sodium sulfate | magnesium nitrate
card-275-7c-muscles-and-bones-which-blood-vessels-carry-blood-away-fr,7C Muscles and bones,7Cc,Which blood vessels carry blood away from the heart?,Which salt is made when hydrochloric acid reacts with zinc oxide?,2,4,arteries|veins|capillaries|ligaments,zinc chloride | zinc nitrate | sodium chloride | magnesium sulfate
card-276-7c-muscles-and-bones-which-blood-vessels-carry-blood-back-to,7C Muscles and bones,7Cc,Which blood vessels carry blood back to the heart?,Which statement best describes electric current in a complete circuit?,2,4,veins|arteries|capillaries|tendons,A flow of charges through the circuit. | A store of energy inside the bulb. | The energy transferred by each charge. | The opposition to flow in a component.
card-278-7c-muscles-and-bones-what-unit-is-force-measured-in,7C Muscles and bones,7Cd,Which unit should be used to record force?,Which unit and symbol are used for current?,2,3,newtons|amps|volts|pH,"ampere, A | volt, V | ohm, Ω | newton, N"
card-280-7c-muscles-and-bones-why-do-muscles-need-to-work-in-pairs,7C Muscles and bones,7Cd,Which statement best explains why do muscles need to work in pairs?,A student wants to measure the current through a lamp. Where should the ammeter go?,3,4,Muscles can pull but cannot push.|Muscles can only push.|Bones contract by themselves.|Tendons make oxygen.,"In series with the lamp so the same current passes through the meter and lamp. | In parallel across the lamp so it measures energy transferred. | Across the cell only, replacing the wires. | Outside the complete circuit so it does not affect current."
card-284-7c-muscles-and-bones-which-is-a-scientific-question,7C Muscles and bones,7Cb,Which question could be answered using scientific evidence?,Which statement best describes voltage across a component?,2,4,Does exercise change pulse rate?|Is running the best sport?|Should everyone have to exercise?|Is it fair to ban fizzy drinks?,The energy transferred by the charges as they pass through the component. | The number of charges passing each second. | The total opposition to current in the wires only. | The number of branches in the circuit.
card-285-7c-muscles-and-bones-which-is-an-ethical-question,7C Muscles and bones,7Ce,Which question is an ethical question rather than a scientific question?,A student wants to measure the voltage across a lamp. Where should the voltmeter go?,2,4,Is it fair to test a new drug on animals?|What is pulse rate measured in?|Does caffeine affect reaction time?|How many bones are in the arm?,In parallel across the lamp. | In series before the lamp. | In the same gap as the switch. | In place of the cell.
card-288-7c-muscles-and-bones-which-list-contains-stimulants-from-the,7C Muscles and bones,7Ce,Which list contains examples of stimulants?,Which statement best describes the role of a cell in a circuit?,2,3,"caffeine, cocaine and ecstasy|alcohol, heroin and solvents|paracetamol and penicillin|water and plasma",It supplies energy to the charges in the circuit. | It measures the current in each branch. | It increases resistance so current stops. | It protects the circuit by melting.
card-289-7c-muscles-and-bones-which-list-contains-depressants-from-th,7C Muscles and bones,7Ce,Which list contains examples of depressants?,A lamp is off because the switch is open. What changes when the switch is closed?,2,4,"alcohol, heroin and solvents|caffeine, cocaine and ecstasy|paracetamol and penicillin|oxygen and glucose",The gap is closed so there is a complete path for current. | A new cell is created inside the switch. | The voltage across every component becomes zero. | The wires become insulators.
card-290-7c-muscles-and-bones-which-two-examples-are-medicines-rather,7C Muscles and bones,7Ce,Which two examples are medicines rather than stimulants or depressants?,Which material would be the best conductor for connecting wires?,2,3,paracetamol and penicillin|caffeine and cocaine|alcohol and heroin|ecstasy and nicotine,copper | rubber | plastic | dry wood
card-293-7c-muscles-and-bones-why-can-depressants-increase-accident-r,7C Muscles and bones,7Ce,Which statement best explains why can depressants increase accident risk?,Which material would be best for the outside covering of a wire?,3,3,They slow nervous-system impulses and can increase reaction time.|They make bones conduct electricity.|They neutralise stomach acid.|They make capillary walls thicker.,plastic | copper | aluminium | steel
card-301-7f-acids-and-alkalis-which-everyday-liquid-is-acidic-because,7F Acids and alkalis,7Fb,Which everyday liquid is acidic because it contains ethanoic acid?,Which statement best describes resistance?,2,4,vinegar|oven cleaner|washing powder|pure water,How difficult it is for current to flow through a component or wire. | How much charge passes a point each second. | The energy transferred by each charge. | A component that supplies electrical energy.
card-302-7f-acids-and-alkalis-which-everyday-liquid-is-acidic-because,7F Acids and alkalis,7Fe,Which everyday liquid is acidic because it contains citric acid?,What is the effect of adding a resistor in series with a lamp?,2,4,lemon juice|toothpaste|washing powder|indigestion powder,"Total resistance increases, so current usually decreases. | Total resistance decreases, so current always increases. | The resistor supplies energy like a cell. | The resistor measures current like an ammeter."
card-303-7f-acids-and-alkalis-which-of-these-is-neutral-on-the-ph-sca,7F Acids and alkalis,7Fc,Which of these is neutral on the pH scale?,What is the useful feature of a variable resistor?,2,3,pure water|stomach acid|oven cleaner|vinegar,Its resistance can be changed to control current. | It can only measure voltage across a lamp. | It melts every time current flows. | It turns a series circuit into an alkali.
card-304-7f-acids-and-alkalis-which-example-is-usually-alkaline,7F Acids and alkalis,7Fd,Which example is usually alkaline?,Which circuit description is series?,2,3,toothpaste|vinegar|lemon juice|fizzy drink,All components are in one loop with no branches. | Each component is on a separate branch across the cell. | There is no complete path for current. | The voltmeter is connected across every wire in turn.
card-305-7f-acids-and-alkalis-which-example-is-a-strongly-alkaline-ho,7F Acids and alkalis,7Fc,Which example is a strongly alkaline household cleaner?,Which circuit description is parallel?,2,3,oven cleaner|milk|fizzy drink|lemon juice,There are two or more branches for current to follow. | There is exactly one loop and no branches. | There is no cell in the circuit. | Every component must be controlled by one switch only.
card-306-7f-acids-and-alkalis-which-drink-is-acidic-on-the-revision-p,7F Acids and alkalis,7Fc,Which drink is acidic on the revision pH scale examples?,"In a series circuit, ammeter A reads 0.4 A before a lamp. What should another ammeter read after the lamp?",2,4,fizzy drink|pure water|washing powder|oven cleaner,0.4 A | 0.2 A | 0 A | 0.8 A
card-307-7f-acids-and-alkalis-which-substance-is-used-to-neutralise-e,7F Acids and alkalis,7Fd,Which substance is used to neutralise extra stomach acid in indigestion?,A parallel circuit has branch currents of 0.2 A and 0.3 A. What is the total current from the cell?,2,5,indigestion powder or antacid|vinegar|lemon juice|universal indicator,0.5 A | 0.3 A | 0.2 A | 0.1 A
card-313-7f-acids-and-alkalis-what-colour-is-phenolphthalein-in-a-mor,7F Acids and alkalis,7Fc,What colour is phenolphthalein in a more acidic solution?,One lamp breaks in a parallel circuit with two separate lamp branches. What usually happens to the other lamp?,2,4,colourless|pink|blue|yellow,It can stay lit because its branch is still complete. | It must go out because all current is used by the broken lamp. | It becomes part of a series circuit automatically. | It receives no voltage because parallel circuits share no energy.
card-314-7f-acids-and-alkalis-what-colour-is-phenolphthalein-in-a-mor,7F Acids and alkalis,7Fc,What colour is phenolphthalein in a more alkaline solution?,Two identical lamps are added in series to the same cell. What is the most likely effect?,2,5,pink|colourless|red|green,The lamps are dimmer because total resistance increases and current decreases. | The lamps are brighter because each lamp receives the full supply current twice. | The second lamp is always off because current is used up by the first. | The cell voltage changes into resistance.
card-315-7f-acids-and-alkalis-what-colour-is-methyl-orange-in-a-more-,7F Acids and alkalis,7Fc,What colour is methyl orange in a more acidic solution?,Which combination would give the largest current?,2,4,red|yellow|blue|pink,High voltage and low resistance. | High voltage and high resistance. | Low voltage and high resistance. | Low voltage and no complete circuit.
card-316-7f-acids-and-alkalis-what-colour-is-methyl-orange-in-a-more-,7F Acids and alkalis,7Fc,What colour is methyl orange in a more alkaline solution?,Which rearrangement correctly gives current from voltage and resistance?,2,5,yellow|red|colourless|purple,I = V ÷ R | I = V × R | I = R ÷ V | I = V + R
card-319-7f-acids-and-alkalis-which-tool-gives-a-numerical-ph-reading,7F Acids and alkalis,7Fc,Which tool gives a numerical pH reading directly?,Which switch arrangement acts like an AND circuit for a lamp?,2,4,pH meter|litmus paper|evaporating dish|ammeter,"Two switches in series, so both must be closed. | Two switches in parallel, so either one can complete a branch. | One open switch placed across the lamp. | A voltmeter connected in series with the lamp."
card-320-7f-acids-and-alkalis-what-does-universal-indicator-paper-nee,7F Acids and alkalis,7Fc,Which statement describes what universal indicator paper need to be compared with?,Which switch arrangement acts like an OR circuit for a lamp?,5,4,a pH colour chart|a circuit symbol|a pulse rate|a tendon,"Two switches in parallel branches, so either switch can complete a path. | Two switches in series, so both must be closed. | A single switch removed from the circuit. | An ammeter connected across the lamp."
card-327-7f-acids-and-alkalis-which-salt-is-made-from-sulfuric-acid-a,7F Acids and alkalis,7Fe,Which salt is made from sulfuric acid and copper oxide?,What is the safety role of a fuse?,2,4,copper sulfate|copper chloride|sodium sulfate|magnesium nitrate,It melts and breaks the circuit if the current becomes too high. | It increases the current to make appliances work faster. | It measures voltage across the appliance. | It stores extra charge for later use.
card-328-7f-acids-and-alkalis-which-salt-is-made-from-hydrochloric-ac,7F Acids and alkalis,7Fe,Which salt is made from hydrochloric acid and zinc oxide?,"In a UK-style plug, which colour is the earth wire?",2,3,zinc chloride|zinc nitrate|sodium chloride|magnesium sulfate,green/yellow | brown | blue | red
card-339-7j-current-electricity-why-are-models-useful-when-learning-a,7J Current electricity,7Jb,Why are models useful for thinking about electric circuits?,Why do models help when learning about electric circuits?,4,4,"Charges are too small to see, so models help us picture what is happening.|Models prove circuits have no limits.|Models replace all experiments.|Models make current become pH 7.","Charges and energy transfers are difficult to see directly, so models help us reason about them. | Models prove electricity is imaginary. | Models are always exactly the same as real circuits. | Models replace the need for observations."
card-344-7j-current-electricity-which-is-a-physical-model,7J Current electricity,7Jd,Which example is a physical model of an electric circuit?,Which example is a physical model of an electric circuit?,4,4,A touchable model circuit made with pipes and a pump.|A circuit diagram in your mind.|The idea that voltage is a push.|A truth table written as logic only.,A pump-and-pipes model that can be touched and observed. | A circuit diagram drawn using symbols. | The idea that voltage is like a push. | A truth table for switch logic.
card-345-7j-current-electricity-which-is-an-abstract-model,7J Current electricity,7Jb,Which example is an abstract model of an electric circuit?,Which example is an abstract model of a circuit?,4,4,A circuit diagram used to represent a real circuit.|A plastic skeleton model.|A working lamp circuit.|A cardboard model of a house.,A circuit diagram using standard symbols. | A working circuit made from wires and lamps. | A plastic model of a skeleton. | A real battery connected to a motor.
card-346-7j-current-electricity-and-truth-table-switch-a-open-and-swi,7J Current electricity,7Jd,AND truth table: switch A open and switch B closed. Will the lamp light?,AND circuit: switch A is open and switch B is closed. What happens to the lamp?,4,4,"No, because both switches must be closed.|Yes, because one switch is closed.|Yes, because B is closed.|The lamp becomes a voltmeter.",It stays off because the series path is still broken. | It lights because one switch is enough in an AND circuit. | It lights because switch B is nearest the lamp. | It flashes because the current splits into two paths.
card-347-7j-current-electricity-and-truth-table-switch-a-closed-and-s,7J Current electricity,7Jc,AND truth table: switch A closed and switch B closed. Will the lamp light?,AND circuit: switch A is closed and switch B is closed. What happens to the lamp?,4,4,"Yes, because both switches are closed.|No, because one switch must be open.|No, because current is used up.|Only if the pH is 7.",It lights because the whole series path is complete. | It stays off because one switch must be open. | It stays off because current is used up by the first switch. | It lights only if a voltmeter is in series.
card-348-7j-current-electricity-or-truth-table-switch-a-open-and-swit,7J Current electricity,7Jc,OR truth table: switch A open and switch B closed. Will the lamp light?,OR circuit: switch A is open and switch B is closed on a separate branch. What happens to the lamp?,4,4,"Yes, because either branch can complete the circuit.|No, because both switches must be closed.|No, because B is open.|Only if an ammeter is parallel.",It lights because one complete branch is enough. | It stays off because both switches must be closed. | It stays off because open switch A blocks every branch. | It lights only if branch currents are equal.
card-349-7j-current-electricity-or-truth-table-switch-a-open-and-swit,7J Current electricity,7Jc,OR truth table: switch A open and switch B open. Will the lamp light?,OR circuit: switch A is open and switch B is open. What happens to the lamp?,4,4,"No, because no branch is complete.|Yes, because there are two branches.|Yes, because current splits.|The lamp is always on.",It stays off because there is no complete branch. | It lights because parallel circuits always work. | It lights because current can jump across open switches. | It becomes a series circuit and glows dimly.
card-352-7j-current-electricity-in-a-series-circuit-with-two-identica,7J Current electricity,7Jd,"In a series circuit with two identical lamps, how is the supply voltage shared?",Two identical lamps are connected in series to a 6 V supply. What happens to the supply voltage?,3,4,It is shared between the lamps.|Each lamp gets twice the supply voltage.|Voltage is used up before the first lamp.|Voltage only exists in wires.,It is shared between the lamps. | Each lamp gets the full 6 V plus extra from the wires. | The first lamp uses all voltage so the second gets none. | Voltage disappears after passing through the switch.
card-353-7j-current-electricity-in-a-parallel-circuit-what-voltage-do,7J Current electricity,7Jd,"In a parallel circuit, what voltage do identical branches connected across the same cell get?",Two branches are connected in parallel across the same cell. What voltage is across each branch?,3,4,The same voltage across each branch.|Zero voltage in every branch.|Half the voltage only in the top branch.|Voltage becomes current.,"The same supply voltage is across each branch. | The first branch gets all the voltage and the second gets none. | The voltage is always half in every branch, whatever the circuit. | There is no voltage in a parallel branch."
card-356-7j-current-electricity-which-dangers-can-electricity-cause-i,7J Current electricity,7Je,Which dangers can electricity cause if it is not used safely?,Which set gives realistic dangers from unsafe electricity use?,2,3,"fires, burns and shocks|only sour taste|only stronger bones|only neutralisation","electric shock, burns and fire | sour taste, neutralisation and corrosion only | stronger bones, faster reaction time and gas exchange | increased pH, salt formation and respiration"
card-357-7j-current-electricity-why-should-you-not-use-electrical-equ,7J Current electricity,7Je,Why should electrical equipment not be used with wet hands?,Why should electrical equipment not be used with wet hands?,3,4,"Water can help current pass through you, increasing shock risk.|Water makes wires insulating.|Wet hands reduce voltage to zero.|Wet hands make a circuit parallel.",Water on skin can lower resistance and increase shock risk. | Water always turns copper into an insulator. | Water makes the voltage of mains electricity zero. | Water changes a series circuit into a parallel circuit.
card-358-7j-current-electricity-why-should-sockets-not-be-overloaded,7J Current electricity,7Je,Why is it unsafe to plug too many appliances into one socket?,Why is plugging too many appliances into one socket unsafe?,3,4,Too much current can overheat wires and cause a fire.|It makes the pH too high.|It makes the circuit diagram abstract.|It makes bulbs become acids.,"The current may be too large, overheating wires and causing a fire. | The voltage always becomes zero so appliances stop safely. | The wires become thicker and less resistant. | The fuse prevents any current from flowing at all times."
card-359-7j-current-electricity-what-should-you-do-before-changing-co,7J Current electricity,7Je,What should you do before changing components in a school circuit?,"Before changing components in a school circuit, what is the safest first action?",4,3,Switch off the power supply.|Add water to the wires.|Use the highest voltage setting first.|Hold both terminals with wet hands.,Switch off the power supply. | Increase the voltage to check the fault faster. | Hold both terminals to test for current. | Short-circuit the cell with a wire.
card-360-7j-current-electricity-why-are-cells-safer-than-mains-electr,7J Current electricity,7Je,Which statement best explains why are cells safer than mains electricity for school circuits and toys?,Why are cells usually safer than mains electricity for school circuits?,3,3,Cells usually provide a much lower voltage.|Cells are always pH 7.|Cells contain no energy.|Cells make circuits incomplete.,Cells usually provide a much lower voltage. | Cells cannot supply any current. | Cells are always connected in parallel. | Cells contain no stored energy.
card-361-7j-current-electricity-what-does-a-fuse-do-if-the-current-ge,7J Current electricity,7Je,What does a fuse do when the current gets too high?,A fuse has melted in a plug. What does this tell you?,3,4,It melts and breaks the circuit.|It makes current larger.|It turns blue litmus red.|It measures voltage.,"The current was too high, so the fuse broke the circuit. | The voltage was too low, so the fuse supplied energy. | The plug became a parallel circuit automatically. | The fuse measured the current and reset itself."
card-362-7j-current-electricity-what-does-a-circuit-breaker-do-if-cur,7J Current electricity,7Je,What does a circuit breaker do when the current gets too high?,A circuit breaker trips while an appliance is running. What has it done?,3,4,It cuts off the current.|It makes a salt.|It pumps blood.|It measures pH.,It has opened the circuit to stop the current. | It has increased the current so the appliance runs faster. | It has changed voltage into resistance. | It has connected the appliance to the earth wire only.
card-363-7j-current-electricity-which-wire-colours-are-used-for-live-,7J Current electricity,7Je,"Which wire colours are used for live, neutral and earth in UK-style plugs?","Which row correctly matches live, neutral and earth wire colours in a UK-style plug?",2,4,"live brown, neutral blue, earth green/yellow|live blue, neutral brown, earth red|live green/yellow, neutral brown, earth blue|all wires are black","live brown, neutral blue, earth green/yellow | live blue, neutral brown, earth green/yellow | live green/yellow, neutral blue, earth brown | live brown, neutral green/yellow, earth blue"
card-364-7j-current-electricity-which-wire-has-higher-resistance-if-t,7J Current electricity,7Jd,Which wire has higher resistance if the material and length are the same?,Two wires are the same material and length. Which wire has the higher resistance?,4,4,a thin wire|a thick wire|both always have zero resistance|the wire with a pH meter,the thinner wire | the thicker wire | both must have zero resistance | the wire connected to the negative terminal only
card-365-7j-current-electricity-what-happens-to-resistance-when-wire-,7J Current electricity,7Jd,"What happens to resistance when wire length increases, if material and thickness stay the same?","If a wire is made longer but material and thickness stay the same, what happens to resistance?",4,4,resistance increases|resistance decreases to zero|current becomes voltage|pH becomes neutral,It increases. | It decreases to zero. | It becomes the same as voltage. | It is unaffected by length.
card-366-7j-current-electricity-what-can-affect-the-resistance-of-a-w,7J Current electricity,7Jd,What can affect the resistance of a wire?,Which set of factors can affect the resistance of a wire?,4,3,"thickness, length and material|only colour|only smell|only whether it is a medicine","length, thickness and material | colour, smell and brightness | pH, litmus colour and salt name | pulse rate, muscle pair and blood type"
